"	datetime	price",,,,
"347	2021-11-22T16:00:00.000Z	42.872",,,,
"348	2021-11-23T00:00:00.000Z	44.49",,,,
"349	2021-11-23T08:00:00.000Z	44.8467",,,,
"350	2021-11-23T16:00:00.000Z	44.89",,,,
"351	2021-11-24T00:00:00.000Z	44.89",,,,
"352	2021-11-24T08:00:00.000Z	44.38",,,,
"353	2021-11-24T16:00:00.000Z	44.21",,,,
"354	2021-11-25T00:00:00.000Z	44.4682",,,,
"355	2021-11-25T08:00:00.000Z	44.89",,,,
"356	2021-11-25T16:00:00.000Z	44.89",,,,
"357	2021-11-26T00:00:00.000Z	43.7",,,,
"358	2021-11-26T08:00:00.000Z	43.7",,,,
"359	2021-11-26T16:00:00.000Z	43.7",,,,
"360	2021-11-27T00:00:00.000Z	43.7",,,,
"361	2021-11-27T08:00:00.000Z	44.0967",,,,
"362	2021-11-27T16:00:00.000Z	44.89",,,,
"363	2021-11-28T00:00:00.000Z	45.8837",,,,
"364	2021-11-28T08:00:00.000Z	45.9913",,,,
"365	2021-11-28T16:00:00.000Z	45.99",,,,
"366	2021-11-29T00:00:00.000Z	46.717",,,,
"367	2021-11-29T08:00:00.000Z	48.77",,,,
"368	2021-11-29T16:00:00.000Z	50.1538",,,,
"369	2021-11-30T00:00:00.000Z	48.2044",,,,
"370	2021-11-30T08:00:00.000Z	48.605",,,,
"371	2021-11-30T16:00:00.000Z	48.61",,,,
"372	2021-12-01T00:00:00.000Z	46.99",,,,
"373	2021-12-01T08:00:00.000Z	47.8999",,,,
"374	2021-12-01T16:00:00.000Z	49.269",,,,
"375	2021-12-02T00:00:00.000Z	48.9681",,,,
"376	2021-12-02T08:00:00.000Z	49.4578",,,,
"377	2021-12-02T16:00:00.000Z	49.9824",,,,
"378	2021-12-03T00:00:00.000Z	49.8771",,,,
"379	2021-12-03T08:00:00.000Z	50.69",,,,
"380	2021-12-03T16:00:00.000Z	50.6133",,,,
"381	2021-12-04T00:00:00.000Z	50.2641",,,,
"382	2021-12-04T08:00:00.000Z	51.5467",,,,
"383	2021-12-04T16:00:00.000Z	51.98",,,,
"384	2021-12-05T00:00:00.000Z	51.6971",,,,
"385	2021-12-05T08:00:00.000Z	51.98",,,,
"386	2021-12-05T16:00:00.000Z	51.98",,,,
"387	2021-12-06T00:00:00.000Z	51.98",,,,
"388	2021-12-06T08:00:00.000Z	51.8473",,,,
"389	2021-12-06T16:00:00.000Z	51.25",,,,
"390	2021-12-07T00:00:00.000Z	51.676",,,,
"391	2021-12-07T08:00:00.000Z	51.6675",,,,
"392	2021-12-07T16:00:00.000Z	51.8575",,,,
"393	2021-12-08T00:00:00.000Z	49.7667",,,,
"394	2021-12-08T08:00:00.000Z	51.8425",,,,
"395	2021-12-08T16:00:00.000Z	51.0",,,,
"396	2021-12-09T00:00:00.000Z	51.6667",,,,
"397	2021-12-09T08:00:00.000Z	53.0",,,,
"398	2021-12-09T16:00:00.000Z	53.0",,,,
"399	2021-12-10T00:00:00.000Z	52.812",,,,
"400	2021-12-10T08:00:00.000Z	52.8625",,,,
"401	2021-12-10T16:00:00.000Z	52.8975",,,,
"402	2021-12-11T00:00:00.000Z	51.7938",,,,
"403	2021-12-11T08:00:00.000Z	50.0",,,,
"404	2021-12-11T16:00:00.000Z	51.5",,,,
"405	2021-12-12T00:00:00.000Z	52.0",,,,
"406	2021-12-12T08:00:00.000Z	51.9913",,,,
"407	2021-12-12T16:00:00.000Z	52.3856",,,,
"408	2021-12-13T00:00:00.000Z	52.56",,,,
"409	2021-12-13T08:00:00.000Z	52.869",,,,
"410	2021-12-13T16:00:00.000Z	52.77",,,,
"411	2021-12-14T00:00:00.000Z	53.6825",,,,
"412	2021-12-14T08:00:00.000Z	53.3438",,,,
"413	2021-12-14T16:00:00.000Z	53.8613",,,,
"414	2021-12-15T00:00:00.000Z	52.425",,,,
"415	2021-12-15T08:00:00.000Z	52.8238",,,,
"416	2021-12-15T16:00:00.000Z	51.3889",,,,
"417	2021-12-16T00:00:00.000Z	51.4462",,,,
"418	2021-12-16T08:00:00.000Z	50.69",,,,
"419	2021-12-16T16:00:00.000Z	50.6422",,,,
"420	2021-12-17T00:00:00.000Z	50.1675",,,,
"421	2021-12-17T08:00:00.000Z	50.2944",,,,
"422	2021-12-17T16:00:00.000Z	50.0",,,,
"423	2021-12-18T00:00:00.000Z	49.845",,,,
"424	2021-12-18T08:00:00.000Z	49.005",,,,
